PA,Search Term,Title1,DPSI1,DocID1,Title2,DPSI2,DocID2,Title3,DPSI3,DocID3
ALL,CA 2006 s 313,"Companies Act 2006, s 313",02O0,603640.0,,,,,,
ALL,CA 2006 s313,"Companies Act 2006, s 313",02O0,603640.0,,,,,,
ALL,CA 2006 Section 313,"Companies Act 2006, s 313",02O0,603640.0,,,,,,
ALL,Companies Act 2006 s 313,"Companies Act 2006, s 313",02O0,603640.0,,,,,,
ALL,Companies Act 2006 s313,"Companies Act 2006, s 313",02O0,603640.0,,,,,,
ALL,Companies Act 2006 Section 313,"Companies Act 2006, s 313",02O0,603640.0,,,,,,
ALL,FAA 1976 s 4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,FAA 1976 s4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,FAA 1976 section 4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,FAA s 4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,FAA s4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,FAA section 4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,fatal accidents act 1976 s 4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,fatal accidents act 1976 s4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,fatal accidents act 1976 section 4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,fatal accidents act s 4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,fatal accidents act s4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,fatal accidents act section 4,s4 fatal accidents act 1976,02O0,78686.0,,,,,,
ALL,ha 1988 s 8 ,section 8 housing act 1988,02O0,53460.0,,,,,,
ALL,ha 1988 s8 ,section 8 housing act 1988,02O0,53460.0,,,,,,
ALL,ha 1988 section 8 ,section 8 housing act 1988,02O0,53460.0,,,,,,
ALL,housing act 1988 s 8 ,section 8 housing act 1988,02O0,53460.0,,,,,,
ALL,housing act 1988 s8 ,section 8 housing act 1988,02O0,53460.0,,,,,,
ALL,housing act 1988 section 8 ,section 8 housing act 1988,02O0,53460.0,,,,,,
ALL,housing act s 8 ,section 8 housing act 1988,02O0,53460.0,,,,,,
ALL,housing act s8 ,section 8 housing act 1988,02O0,53460.0,,,,,,
ALL,housing act section 8 ,section 8 housing act 1988,02O0,53460.0,,,,,,
ALL,ihta  1984 section 154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,ihta  section 154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,ihta 1984 s 154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,ihta 1984 s154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,ihta s 154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,ihta s154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,Inheritance (Provision for Family and Dependants) Act 1975,Inheritance (Provision for Family and Dependants) Act 1975,,,,,,,,
ALL,inheritance tax act  section 154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,inheritance tax act 1984 s 154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,inheritance tax act 1984 s154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,inheritance tax act 1984 section 154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,inheritance tax act s 154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,inheritance tax act s154,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,matrimonial causes act 1973 s 25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,matrimonial causes act 1973 s25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,matrimonial causes act 1973 section 25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,matrimonial causes act s 25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,matrimonial causes act s25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,matrimonial causes act section 25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,MCA 1973 s 25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,MCA 1973 s25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,MCA 1973 section 25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,MCA s 25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,MCA s25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,MCA section 25,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,s 154 ihta ,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,s 154 ihta 1984,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,s 154 inheritance tax act ,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,s 154 inheritance tax act 1984,s154 inheritance tax act 1984,02O0,34693.0,,,,,,
ALL,s 25 matrimonial causes act,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,s 25 matrimonial causes act 1973,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,s 25 MCA ,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,s 25 MCA 1973,s25 matrimonial causes act 1973,02O0,33790.0,,,,,,
ALL,s 31 TA 1925,s31 trustee act 1925,02O0,33717.0,,,,,,
ALL,s 31 trustee act 1925,s31 trustee act 1925,02O0,33717.0,,,,,,
